| %    | Decomp?  | Name                                | # of insns | Asm Path 
-------------------------------------------------------------------------------
| 1.00 | true     | func_800397E8                       | 8          | asm/us/main/matchings/23C14/func_800397E8.s 
| 1.00 | true     | func_80042CC4                       | 8          | asm/us/main/matchings/23C14/func_80042CC4.s 
| 1.00 | true     | func_800448C4                       | 8          | asm/us/main/matchings/23C14/func_800448C4.s 
| 1.00 | true     | func_800204AC                       | 8          | asm/us/main/matchings/323C/func_800204AC.s 
| 1.00 | true     | DecDCTout                           | 8          | asm/us/main/matchings/D9840/DecDCTout.s 
| 1.00 | true     | func_800B6060                       | 8          | asm/us/main/matchings/effects/effect_04/func_800B6060.s 
| 1.00 | true     | func_800B8470                       | 8          | asm/us/main/matchings/effects/effect_12/func_800B8470.s 
| 1.00 | true     | func_800B8610                       | 8          | asm/us/main/matchings/effects/effect_13/func_800B8610.s 
| 1.00 | true     | func_800B8A9C                       | 8          | asm/us/main/matchings/effects/effect_14/func_800B8A9C.s 
| 1.00 | true     | func_800B97B0                       | 8          | asm/us/main/matchings/effects/effect_18/func_800B97B0.s 
| 1.00 | true     | func_800BA520                       | 8          | asm/us/main/matchings/effects/effect_21/func_800BA520.s 
| 1.00 | true     | func_800BAF04                       | 8          | asm/us/main/matchings/effects/effect_24/func_800BAF04.s 
| 1.00 | true     | func_800BBBF4                       | 8          | asm/us/main/matchings/effects/effect_27/func_800BBBF4.s 
| 1.00 | true     | func_800BBE84                       | 8          | asm/us/main/matchings/effects/effect_28/func_800BBE84.s 
| 1.00 | true     | func_800BD4EC                       | 8          | asm/us/main/matchings/effects/effect_37/func_800BD4EC.s 
| 1.00 | true     | func_800BDA2C                       | 8          | asm/us/main/matchings/effects/effect_38/func_800BDA2C.s 
| 1.00 | true     | func_800BDF20                       | 8          | asm/us/main/matchings/effects/effect_39/func_800BDF20.s 
| 1.00 | true     | func_800BE0DC                       | 8          | asm/us/main/matchings/effects/effect_40/func_800BE0DC.s 
| 1.00 | true     | func_800B6C74                       | 8          | asm/us/main/matchings/effects/search_light_maker/func_800B6C74.s 
| 1.00 | true     | func_800BEB94                       | 8          | asm/us/main/matchings/items/item_00/func_800BEB94.s 
| 1.00 | true     | func_800BF5EC                       | 8          | asm/us/main/matchings/items/item_01/func_800BF5EC.s 
| 1.00 | true     | func_800BFBB0                       | 8          | asm/us/main/matchings/items/item_02/func_800BFBB0.s 
| 1.00 | true     | func_800C1224                       | 8          | asm/us/main/matchings/items/item_05/func_800C1224.s 
| 1.00 | true     | func_800C1938                       | 8          | asm/us/main/matchings/items/item_07/func_800C1938.s 
| 1.00 | true     | func_800C2DE0                       | 8          | asm/us/main/matchings/items/item_11/func_800C2DE0.s 
| 1.00 | true     | func_800C2E00                       | 8          | asm/us/main/matchings/items/item_11/func_800C2E00.s 
| 1.00 | true     | func_800C3484                       | 8          | asm/us/main/matchings/items/item_12/func_800C3484.s 
| 1.00 | true     | func_800C3A20                       | 8          | asm/us/main/matchings/items/item_14/func_800C3A20.s 
| 1.00 | true     | func_800C4290                       | 8          | asm/us/main/matchings/items/item_17/func_800C4290.s 
| 1.00 | true     | func_800C5058                       | 8          | asm/us/main/matchings/items/item_20/func_800C5058.s 
| 1.00 | true     | func_800C54DC                       | 8          | asm/us/main/matchings/items/item_21/func_800C54DC.s 
| 1.00 | true     | func_800C56F0                       | 8          | asm/us/main/matchings/items/item_22/func_800C56F0.s 
| 1.00 | true     | func_800C5F30                       | 8          | asm/us/main/matchings/items/item_23/func_800C5F30.s 
| 1.00 | true     | func_800C5F50                       | 8          | asm/us/main/matchings/items/item_23/func_800C5F50.s 
| 1.00 | true     | func_800C5F70                       | 8          | asm/us/main/matchings/items/item_23/func_800C5F70.s 
